origin,destination,distance_km,duration_mins,,League
Saltney Town,Chirk AAA,34.78,42.05,21.61128338,North East
Cefn Albion,Four Crosses,42.86,77.9,26.63196106,North East
Chirk AAA,Four Crosses,40.98,70.32,25.46378358,North East
Four Crosses,Four Crosses,NA,NA,NA,North East
Machynlleth,Four Crosses,74.53,75.07,46.31078063,North East
Montgomery Town,Four Crosses,27.75,30.3,17.24304525,North East
Penycae,Four Crosses,50.47,82.17,31.36059437,North East
Rhos Aelwyd,Four Crosses,51.93,81.95,32.26779603,North East
Welshpool Town,Four Crosses,13.81,15.82,8.58113351,North East
Brickfield Rangers,Four Crosses,55.17,79.7,34.28103807,North East
Brymbo,Four Crosses,56.61,82.45,35.17581231,North East
Llanuwchllyn,Four Crosses,57.16,59.8,35.51756636,North East
Llay Welfare,Four Crosses,62.33,90.18,38.73005443,North East
Mold Alexandra,Four Crosses,92.12,103.08,57.24069652,North East
Rhostyllen,Four Crosses,52.85,78.78,32.83945735,North East
Rhydymwyn,Four Crosses,92.82,103.28,57.67565622,North East
Saltney Town,Four Crosses,74.95,108.58,46.57175645,North East
Cefn Albion,Machynlleth,94.17,93.88,58.51450707,North East
Chirk AAA,Machynlleth,95.02,90.48,59.04267242,North East
Four Crosses,Machynlleth,74.82,75.25,46.49097822,North East
Machynlleth,Machynlleth,NA,NA,NA,North East
Montgomery Town,Machynlleth,63.41,69.68,39.40113511,North East
Penycae,Machynlleth,101.78,98.15,63.24314038,North East
Rhos Aelwyd,Machynlleth,103.24,97.93,64.15034204,North East
Welshpool Town,Machynlleth,61.69,62.47,38.33237699,North East
Brickfield Rangers,Machynlleth,97.7,96.13,60.7079467,North East
Brymbo,Machynlleth,95.6,92.02,59.4030676,North East
Llanuwchllyn,Machynlleth,41.6,37.4,25.8490336,North East
Llay Welfare,Machynlleth,100.26,99.43,62.29865646,North East
Mold Alexandra,Machynlleth,102.46,100.05,63.66567266,North East
Rhostyllen,Machynlleth,104.16,94.77,64.72200336,North East
Rhydymwyn,Machynlleth,103.16,100.25,64.10063236,North East
Saltney Town,Machynlleth,109.02,113.33,67.74186642,North East
Cefn Albion,Montgomery Town,68.65,101.05,42.65711915,North East
Chirk AAA,Montgomery Town,66.77,93.47,41.48894167,North East
Four Crosses,Montgomery Town,27.66,29.57,17.18712186,North East
Machynlleth,Montgomery Town,63.44,69.8,39.41977624,North East
Montgomery Town,Montgomery Town,NA,NA,NA,North East
Penycae,Montgomery Town,76.26,105.32,47.38575246,North East
Rhos Aelwyd,Montgomery Town,77.72,105.1,48.29295412,North East
Welshpool Town,Montgomery Town,15.3,20.88,9.5069763,North East
Brickfield Rangers,Montgomery Town,80.96,102.85,50.30619616,North East
Brymbo,Montgomery Town,82.4,105.6,51.2009704,North East
Llanuwchllyn,Montgomery Town,74.3,79.02,46.1678653,North East
Llay Welfare,Montgomery Town,88.12,113.33,54.75521252,North East
Mold Alexandra,Montgomery Town,109.26,122.3,67.89099546,North East
Rhostyllen,Montgomery Town,78.64,101.93,48.86461544,North East
Rhydymwyn,Montgomery Town,109.96,122.5,68.32595516,North East
Saltney Town,Montgomery Town,115.82,135.58,71.96718922,North East
Cefn Albion,Penycae,3.84,9.05,2.38606464,North East
Chirk AAA,Penycae,10.27,15.27,6.38148017,North East
Four Crosses,Penycae,50.43,81.58,31.33573953,North East
Machynlleth,Penycae,101.73,98,63.21207183,North East
Montgomery Town,Penycae,76.16,104.92,47.32361536,North East
Penycae,Penycae,NA,NA,NA,North East
Rhos Aelwyd,Penycae,2.23,6.8,1.38565733,North East
Welshpool Town,Penycae,62.22,90.43,38.66170362,North East
Brickfield Rangers,Penycae,9.43,14.35,5.85952853,North East
Brymbo,Penycae,10.87,17.1,6.75430277,North East
Llanuwchllyn,Penycae,60.13,60.6,37.36303823,North East
Llay Welfare,Penycae,16.59,24.83,10.30854489,North East
Mold Alexandra,Penycae,26.97,42.45,16.75837587,North East
Rhostyllen,Penycae,5,11.75,3.106855,North East
Rhydymwyn,Penycae,31.15,49.63,19.35570665,North East
Saltney Town,Penycae,29.21,43.23,18.15024691,North East
Cefn Albion,Rhos Aelwyd,7.52,12.92,4.67270992,North East
Chirk AAA,Rhos Aelwyd,11.61,15.03,7.21411731,North East
Four Crosses,Rhos Aelwyd,51.76,81.35,32.16216296,North East
Machynlleth,Rhos Aelwyd,103.07,97.77,64.04470897,North East
Montgomery Town,Rhos Aelwyd,77.49,104.68,48.15003879,North East
Penycae,Rhos Aelwyd,2.23,6.8,1.38565733,North East
Rhos Aelwyd,Rhos Aelwyd,NA,NA,NA,North East
Welshpool Town,Rhos Aelwyd,63.55,90.2,39.48812705,North East
Brickfield Rangers,Rhos Aelwyd,5.88,9.18,3.65366148,North East
Brymbo,Rhos Aelwyd,7.32,11.93,4.54843572,North East
Llanuwchllyn,Rhos Aelwyd,61.47,60.37,38.19567537,North East
Llay Welfare,Rhos Aelwyd,13.04,19.67,8.10267784,North East
Mold Alexandra,Rhos Aelwyd,23.42,37.28,14.55250882,North East
Rhostyllen,Rhos Aelwyd,3.07,6.5,1.90760897,North East
Rhydymwyn,Rhos Aelwyd,27.61,44.47,17.15605331,North East
Saltney Town,Rhos Aelwyd,25.66,38.07,15.94437986,North East
Cefn Albion,Welshpool Town,54.76,87,34.02627596,North East
Chirk AAA,Welshpool Town,52.88,79.42,32.85809848,North East
Four Crosses,Welshpool Town,13.78,15.52,8.56249238,North East
Machynlleth,Welshpool Town,62.27,63.73,38.69277217,North East
Montgomery Town,Welshpool Town,15.22,20.58,9.45726662,North East
Penycae,Welshpool Town,62.38,91.27,38.76112298,North East
Rhos Aelwyd,Welshpool Town,63.83,91.05,39.66211093,North East
Welshpool Town,Welshpool Town,NA,NA,NA,North East
Brickfield Rangers,Welshpool Town,67.08,88.8,41.68156668,North East
Brymbo,Welshpool Town,68.52,91.55,42.57634092,North East
Llanuwchllyn,Welshpool Town,60.03,62.58,37.30090113,North East
Llay Welfare,Welshpool Town,74.23,99.28,46.12436933,North East
Mold Alexandra,Welshpool Town,94.99,105.87,59.02403129,North East
Rhostyllen,Welshpool Town,64.75,87.88,40.23377225,North East
Rhydymwyn,Welshpool Town,95.69,106.07,59.45899099,North East
Saltney Town,Welshpool Town,101.55,119.15,63.10022505,North East
Cefn Albion,Brickfield Rangers,10.96,11.2,6.81022616,North East
Chirk AAA,Brickfield Rangers,15.05,13.32,9.35163355,North East
Four Crosses,Brickfield Rangers,55.2,79.63,34.2996792,North East
Machynlleth,Brickfield Rangers,97.71,96.48,60.71416041,North East
Montgomery Town,Brickfield Rangers,80.93,102.97,50.28755503,North East
Penycae,Brickfield Rangers,7.61,14.32,4.72863331,North East
Rhos Aelwyd,Brickfield Rangers,5.84,8.83,3.62880664,North East
Welshpool Town,Brickfield Rangers,66.99,88.48,41.62564329,North East
Brickfield Rangers,Brickfield Rangers,NA,NA,NA,North East
Brymbo,Brickfield Rangers,3.58,6.53,2.22450818,North East
Llanuwchllyn,Brickfield Rangers,56.11,59.08,34.86512681,North East
Llay Welfare,Brickfield Rangers,9.29,14.45,5.77253659,North East
Mold Alexandra,Brickfield Rangers,19.67,32.07,12.22236757,North East
Rhostyllen,Brickfield Rangers,2.13,4.28,1.32352023,North East
Rhydymwyn,Brickfield Rangers,23.86,39.25,14.82591206,North East
Saltney Town,Brickfield Rangers,21.91,32.85,13.61423861,North East
Cefn Albion,Brymbo,12.24,13.62,7.60558104,North East
Chirk AAA,Brymbo,16.32,15.73,10.14077472,North East
Four Crosses,Brymbo,56.48,82.05,35.09503408,North East
Machynlleth,Brymbo,95.64,92.38,59.42792244,North East
Montgomery Town,Brymbo,82.21,105.38,51.08290991,North East
Penycae,Brymbo,8.89,16.73,5.52398819,North East
Rhos Aelwyd,Brymbo,7.12,11.25,4.42416152,North East
Welshpool Town,Brymbo,68.27,90.9,42.42099817,North East
Brickfield Rangers,Brymbo,3.58,6.53,2.22450818,North East
Brymbo,Brymbo,NA,NA,NA,North East
Llanuwchllyn,Brymbo,54.04,54.98,33.57888884,North East
Llay Welfare,Brymbo,7.76,16.73,4.82183896,North East
